Abelmoschus esculentus
Abutilon hulseanum
Acacia dealbata
Acacia glauca
Acanthus ebracteatus
Acer pseudoplatanus
Aconitum vulparia
Actinidia chinensis
Adansonia digitata
Adolphia infesta
Aepyceros melampus
Aesculus glabra
Agave sisalana
Agrostemma githago
Alcea rosea
Alces alces
Alligator mississippiensis
Allium tricoccum 
Alosa chrysochloris
Amaranthus albus
Amphipyra tragopoginis
Anacardium occidentale
Ananas comosus
Anemone quinquefolia
Anemone quinquefolia 
Anethum graveolens
Antidorcas marsupialis
Antirrhinum nuttallianum 
Apium graveolens 
Apodichthys
Aquilegia canadensis
Argyranthemum frutescens
Armoracia rusticana
Artemisia dracunculus 
Artocarpus altilis
Asparagus officinalis
Atropa bella-donna
Batrachomoeus dubius
Belone belone
Beta trigyna
Beta vulgaris 
Bison bison bison
Bixa orellana
Bombyx mori
Bos bison
Bos grunniens
Boswellia sacra
Brassica napus
Brassica oleracea
Brassica rupestris
Brassicaceae
Calamus rotang
Calendula officinalis
Callinectes sapidus
Callogobius atratus
Camellia japonica
Camelus dromedarius
Campanula rotundifolia
Canis dingo
Cannabis sativa 
Capparis baducca
Capra ibex
Carassius auratus
Cardamine californica 
Carex breweri 
Carex divulsa 
Carex sonomensis
Carthamus tinctorius
Carum carvi
Carya illinoinensis
Celtis occidentalis
Centaurea cyanus
Centrarchidae
Cephaelis ipecacuanha
Ceratonia siliqua
Cereus giganteus
Cervus elaphus
Chaerophyllum tainturieri
Chamerion angustifolium 
Characiformes
Chaunax pictus
Chelidonium majus 
Chenopodium quinoa
Chrysanthemum cinerariifolium
Chrysanthemum leucanthemum 
Chrysanthemum majus
Cichorium intybus
Cinchona pubescens
Cinnamomum verum
Cistus ladanifer
Citrus reticulata
Clupea harengus
Clupeiformes
Cola pachycarpa
Coleus barbatus
Corchorus aestuans
Coriandrum sativum
Cornus mas
Corydalus cornutus
Coryphaena hippurus
Crataegus paludosa
Croton ovalifolius
Cucumis melo
Cucurbita maxima 
Cucurbita mixta
Cuminum cyminum
Curcuma longa
Cyamopsis tetragonoloba
Cyclamen purpurascens
Cydonia oblonga
Cynara cardunculus 
Cyperus papyrus
Datura stramonium 
Daucus carota 
Dianthus caryophyllus
Didelphimorphia
Digitaria eriantha 
Digitaria sanguinalis
Dioscorea composita
Diospyros ebenum
Dipsacus fullonum 
Durio zibethinus
Elettaria cardamomum
Ellipsaria lineolata
Elops saurus
Epigaea repens
Epinephelus fulvus
Equus asinus
Equus zebra
Erethizon dorsatum
Erica diaphana
Eruca vesicaria 
Eryngium cuneifolium
Eschscholzia lobbii
Esox masquinongy
Eucalyptus rigens
Eucalyptus spathulata 
Euonymus bungeanum
Euphorbia esula 
Euphorbia pulcherrima
Eutrema wasabi
Fagopyrum esculentum
Felis pardalis
Ficus godeffroyi
Fouquieria splendens
Gadus morhua
Galanthus nivalis
Gaura suffulta 
Gaylussacia dumosa
Giraffa camelopardalis
Girella cyanea
Glycine max
Glycyrrhiza lepidota
Gobio gobio
Gomphocarpus fruticosus
Gorilla gorilla
Grevillea banksii
Gymnapistes marmoratus
Hemerocoetes waitei
Hibiscus denudatus
Hibiscus lunariifolius
Hibiscus moscheutos
Hippocampus punctulatus
Hippopotamus amphibius
Homo sapiens
Hordeum vulgare
Houttuynia cordata
Huso huso
Hydrastis canadensis
Hyssopus officinalis
Iris laevigata
Istiophorus platypterus
Juglans cinerea
Juncus tenuis
Kochia scoparia
Lachnolaimus maximus
Lactophrys tricornis
Lactuca sativa
Lama glama
Lama pacos
Lawsonia inermis
Lens culinaris
Lepisma saccharina
Lepomis gulosus
Leptosynanceia asteroblepa
Lethrinus laticaudis
Lethrinus nematacanthus
Ligustrum sempervirens
Linum narbonense
Lolium temulentum
Lophius americanus
Lophophora williamsii
Lynx canadensis
